Date,Day of week,Gross,Hours Worked,Tips,Payday_Window,Is_Pre_Holiday,Is_Holiday,Is_Event
02-10-2026,Tuesday,41855.42,1855.3,22.55992023,0,0,0,0
02-09-2026,Monday,39641.18,1812.45,21.87159922,0,0,0,0
02-08-2026,Sunday,57124.50,2471.53,23.11301097,0,0,0,0
02-07-2026,Saturday,77777.50,3120.63,24.92365324,0,0,0,0
02-06-2026,Friday,57622.00,2438.55,23.62961596,0,0,0,0
02-05-2026,Thursday,37671.50,1878.98,20.04890951,0,0,0,0
02-04-2026,Wednesday,40992.50,1860.67,22.03104258,0,0,0,0
02-03-2026,Tuesday,45534.50,1864.07,24.42746249,0,0,0,0
02-02-2026,Monday,38645.00,1806.50,21.39219485,0,0,0,0
02-01-2026,Sunday,52457.05,2469.63,21.24085389,0,0,0,0
01-31-2026,Saturday,67948.50,3167.48,21.4519113,0,0,0,0
01-30-2026,Friday,52901.50,2393.17,22.10519938,0,0,0,0
01-29-2026,Thursday,46541.00,1928.03,24.13914721,0,0,0,0
01-28-2026,Wednesday,39530.00,1876.70,21.06356903,0,0,0,0
01-27-2026,Tuesday,39315.00,1769.27,22.22102901,0,0,0,0
01-26-2026,Monday,27805.25,1334.50,20.83570626,0,0,0,0
01-25-2026,Sunday,8109.00,714.45,11.3499895,0,0,0,0
01-24-2026,Saturday,68434.00,2985.83,22.9195902,0,0,0,0
01-23-2026,Friday,55193.00,2379.07,23.19940145,0,0,0,0
01-22-2026,Thursday,45465.50,1935.37,23.49189044,0,0,0,0
01-21-2026,Wednesday,40071.00,1897.92,21.1131133,0,0,0,0
01-20-2026,Tuesday,39131.50,1833.07,21.34752083,0,0,0,0
01-19-2026,Monday,37540.50,1799.37,20.86313543,0,0,1,0
01-18-2026,Sunday,54208.50,2197.78,24.66511662,0,0,0,0
01-17-2026,Saturday,79485.50,3105.77,25.59284815,0,0,0,0
01-16-2026,Friday,59069.50,2379.70,24.8222465,0,0,0,0
01-15-2026,Thursday,49482.50,1873.33,26.41419291,0,0,0,0
01-14-2026,Wednesday,48152.00,1808.50,26.62538015,0,0,0,0
01-13-2026,Tuesday,49484.50,1749.78,28.28041239,0,0,0,0
01-12-2026,Monday,38401.15,1686.25,22.773106,0,0,0,0
01-11-2026,Sunday,48886.52,2352.82,20.77784106,0,0,0,0
01-10-2026,Saturday,70102.00,3096.87,22.63640385,0,0,0,0
01-09-2026,Friday,55624.50,2383.22,23.34006093,0,0,0,0
01-08-2026,Thursday,45033.00,1939.17,23.22282214,0,0,0,0
01-07-2026,Wednesday,42470.50,1930.20,22.00316029,0,0,0,0
01-06-2026,Tuesday,61886.00,1835.20,33.72166521,0,0,0,0
01-05-2026,Monday,38030.00,1756.92,21.64583476,0,0,0,0
01-04-2026,Sunday,62017.00,2518.42,24.62536034,0,0,0,0
01-03-2026,Saturday,75903.50,3166.03,23.97434642,0,0,0,0
01-02-2026,Friday,63532.00,2559.75,24.81961129,0,0,0,0
01-01-2026,Thursday,72101.84,2267.87,31.79275708,0,0,0,0
12-31-2025,Wednesday,64355.74,2323.40,27.69894981,0,0,0,0
12-30-2025,Tuesday,54749.50,1979.37,27.66006356,0,0,0,0
12-29-2025,Monday,46636.00,1938.22,24.06125208,0,0,0,0
12-28-2025,Sunday,56782.00,2486.60,22.83519665,0,0,0,0
12-27-2025,Saturday,68320.00,3024.02,22.59244317,0,0,0,0
12-26-2025,Friday,51471.39,2284.12,22.5344509,0,0,0,0
12-25-2025,Thursday,60117.50,2099.98,28.6276536,0,0,0,0
12-24-2025,Wednesday,61305.00,2105.58,29.11549312,0,0,0,0
12-23-2025,Tuesday,46981.00,1965.62,23.90136445,0,0,0,0
12-22-2025,Monday,49033.50,1923.77,25.48823404,0,0,0,0
12-21-2025,Sunday,54770.00,2428.53,22.55273766,0,0,0,0
12-20-2025,Saturday,71618.00,3064.90,23.36715717,0,0,0,0
12-19-2025,Friday,57818.50,2267.42,25.49968687,0,0,0,0
12-18-2025,Thursday,44002.00,1842.68,23.87934964,0,0,0,0
12-17-2025,Wednesday,49159.00,1875.15,26.21603605,0,0,0,0
12-16-2025,Tuesday,39519.50,1767.58,22.35796965,0,0,0,0
12-15-2025,Monday,38738.00,1772.53,21.85463716,0,0,0,0
12-14-2025,Sunday,39300.50,2039.10,19.27345397,0,0,0,0
12-13-2025,Saturday,70397.50,2998.10,23.48070445,0,0,0,0
12-12-2025,Friday,72446.00,2364.92,30.63359437,0,0,0,0
12-11-2025,Thursday,51842.00,1939.52,26.72929385,0,0,0,0
12-10-2025,Wednesday,39008.50,1844.63,21.1470593,0,0,0,0
12-09-2025,Tuesday,35050.00,1810.93,19.35469621,0,0,0,0
12-08-2025,Monday,40349.00,1777.78,22.69628413,0,0,0,0
12-07-2025,Sunday,58112.50,2471.53,23.51276335,0,0,0,0
12-06-2025,Saturday,74580.50,3142.97,23.72930699,0,0,0,0
12-05-2025,Friday,53728.00,2421.63,22.18670895,0,0,0,0
12-04-2025,Thursday,41164.50,1885.87,21.82785664,0,0,0,0
12-03-2025,Wednesday,41948.35,1912.35,21.93549821,0,0,0,0
12-02-2025,Tuesday,41988.61,1785.42,23.51749728,0,0,0,0
12-01-2025,Monday,41327.00,1770.37,23.34370781,0,0,0,0
11-30-2025,Sunday,53233.00,2465.18,21.59396068,0,0,0,0
11-29-2025,Saturday,85489.00,3157.50,27.07490103,0,0,0,0
11-28-2025,Friday,67813.00,2666.37,25.43270439,0,0,0,0
11-27-2025,Thursday,49696.50,2103.92,23.62090764,0,0,0,0
11-26-2025,Wednesday,59055.65,2174.85,27.15389567,0,0,0,0
11-25-2025,Tuesday,35377.00,1865.37,18.96513828,0,0,0,0
11-24-2025,Monday,42987.00,1803.08,23.84087229,0,0,0,0
11-23-2025,Sunday,56730.66,2415.05,23.49047018,0,0,0,0
11-22-2025,Saturday,76897.00,3088.62,24.89687951,0,0,0,0
11-21-2025,Friday,59714.00,2477.37,24.10378748,0,0,0,0
11-20-2025,Thursday,52031.50,1895.53,27.44957875,0,0,0,0
11-19-2025,Wednesday,47655.00,1873.23,25.44001537,0,0,0,0
11-18-2025,Tuesday,35190.00,1826.07,19.27089323,0,0,0,0
11-17-2025,Monday,43807.00,1827.72,23.96811328,0,0,0,0
11-16-2025,Sunday,52288.00,2450.85,21.334639,0,0,0,0
11-15-2025,Saturday,80410.50,3152.70,25.50528119,0,0,0,0
11-14-2025,Friday,55369.00,2475.10,22.37040928,0,0,0,0
11-13-2025,Thursday,57688.80,1952.95,29.53931232,0,0,0,0
11-12-2025,Wednesday,37788.40,1887.58,20.01949586,0,0,0,0
